,id,pub_year,date_approx,author,script,title,type,series,edition,ocr_quality,language,translated_from,pub_city,country,source,source_url
20,21,1900,1.0,,,La cuisine pratique de Françoise,Bourgeois cooking,,,0.972730973732975,French,,Paris,France,Archive.org,
21,22,1900,,Dr Ern. Nyssens,,La cuisine rationnelle,Rational and medical,,,0.98666666607191,French,,"Paris, Bruxelles","France, Belgium",Gallica,
22,23,1907,,Mme Augusta Moll-Weiss,,La cuisine rationnelle des malades et des bien portants,Rational and medical,,,1.0,French,,Paris,France,Gallica,
23,24,1913,,Tante Mag,,La Cuisine simple,Bourgeois cooking,,,0.986998453013496,French,,Paris,France,Gallica,
24,25,1827,,,,La cuisinière bourgeoise,Bourgeois cooking,,5,0.745859255285209,French,,Paris,France,Archive.org,
25,26,1829,,,,La cuisinière bourgeoise,Bourgeois cooking,,7,0.63242489009428,French,,Paris,France,Archive.org,
26,27,1829,,Louis-Eustache Audot,,La cuisinière de la campagne et de la ville,Bourgeois cooking,La cuisinière de la campagne et de la ville,8,0.588843028205117,French,,Paris,France,Archive.org,
27,28,1836,,Louis-Eustache Audot,,La cuisinière de la campagne et de la ville,Bourgeois cooking,La cuisinière de la campagne et de la ville,20,0.97,French,,Paris,France,Archive.org,
28,29,1839,,Louis-Eustache Audot,,La cuisinière de la campagne et de la ville,Bourgeois cooking,La cuisinière de la campagne et de la ville,23,0.768119241743539,French,,Paris,France,Archive.org,
29,30,1853,,Louis-Eustache Audot,,La cuisinière de la campagne et de la ville,Bourgeois cooking,La cuisinière de la campagne et de la ville,33,0.925,French,,Paris,France,Archive.org,
30,31,1854,,Louis-Eustache Audot,,La cuisinière de la campagne et de la ville,Bourgeois cooking,La cuisinière de la campagne et de la ville,34,0.956115630942774,French,,Paris,France,Archive.org,
31,32,1858,,Louis-Eustache Audot,,La cuisinière de la campagne et de la ville,Bourgeois cooking,La cuisinière de la campagne et de la ville,38,0.96,French,,Paris,France,Archive.org,
32,33,1872,,Louis-Eustache Audot,,La cuisinière de la campagne et de la ville,Bourgeois cooking,La cuisinière de la campagne et de la ville,50,0.792846737910481,French,,Paris,France,Archive.org,
33,34,1879,,Louis-Eustache Audot,,La cuisinière de la campagne et de la ville,Bourgeois cooking,La cuisinière de la campagne et de la ville,57,0.851262742523866,French,,Paris,France,Archive.org,
34,35,1893,,Louis-Eustache Audot,,La cuisinière de la campagne et de la ville,Bourgeois cooking,La cuisinière de la campagne et de la ville,71,0.782866986858495,French,,Paris,France,Archive.org,
35,36,1909,,Louis-Eustache Audot,,La cuisinière de la campagne et de la ville,Bourgeois cooking,La cuisinière de la campagne et de la ville,87,0.961115512085302,French,,Paris,France,Archive.org,
36,37,1829,,,,La Cuisinière du Haut-Rhin,Bourgeois cooking,,,0.69402127304659,French,de,Mulhausen,France,Archive.org,
37,38,1850,1.0,Édouard Hocquart,,La cuisinière modèle,Bourgeois cooking,,5,0.98,French,,Paris,France,Archive.org,
38,39,1909,1.0,Mme E.H Gabrielle,,La cuisinière modèle,Bourgeois cooking,,,0.975,French,,Paris,France,Archive.org,
39,40,1900,,Jean-Baptiste Reboul,,La cuisinière Provençale,Bourgeois cooking,,3,0.712103995624354,French,,Marseilles,France,Archive.org,
40,41,1883,,Madame la comtesse de Bassanville,,La cuisinière universelle,Bourgeois cooking,,,0.968169903319279,French,,Paris,France,Gallica,
41,42,1902,,Prosper Salles et Prosper Montagné,,La grande cuisine illustrée,Fine cooking,,4,0.984999913742505,French,,Paris,France,Archive.org,
42,43,1817,,,,La nouvelle cuisinière bourgeoise,Bourgeois cooking,,4,0.784185311080833,French,,Paris,France,Archive.org,
43,44,1900,,Franc-Nohain,,La nouvelle cuisinière bourgeoise,Bourgeois cooking,,,0.842833228486019,French,,Paris,France,Archive.org,
44,45,1865,,Mlle Madeleine,,La parfaite cuisiniére bourgeoise,Bourgeois cooking,,4,0.944357625775404,French,,Paris,France,Archive.org,
45,46,1884,,,,La petite cuisine du baron Brisse,,,6,0.979999968268559,French,,Paris,France,Archive.org,
46,47,1899,,Carlotto Schulz,,La table du végétarien,Vegetarian,,,0.736521764437216,French,de,"Paris, Bruxelles","France, Belgium",Archive.org,https://archive.org/details/b21525651
47,48,1910,1.0,Tante Marie,,La véritable cuisine de famille,Bourgeois cooking,,,0.953895275160608,French,,Paris,France,Archive.org,
48,49,1886,,Léon Souchay,,Le bon cuisinier illustré,Fine cooking,,,0.994999999999948,French,,Paris,France,Gallica,
49,50,1818,,Mme Utrecht-Friedel,,Le confiseur royal,"Fine cooking, Pastry",,5,0.527496986086209,French,,Paris,France,Archive.org,
50,51,1828,,Mlle Marguerite,,Le cordon bleu. Nouvelle cuisinière bourgeoise ,Bourgeois cooking,,2,0.953020134228176,French,,Paris,France,Archive.org,
51,52,1869,1.0,Mlle Marguerite,,Le cordon bleu. Nouvelle cuisinière bourgeoise ,Bourgeois cooking,,,0.975,French,,Paris,France,Archive.org,
52,53,1883,,Mique Grandchamp,,Le cuisinier à la bonne franquette,Bourgeois cooking,,1,1.0,French,,Annecy,France,Gallica,
53,54,1844,,,,Le cuisinier des cuisiniers,Fine cooking,Le cuisinier des cuisiniers,10,0.995,French,,Paris,France,Gallica,
54,55,1877,,Jourdan-Lecointe,,Le cuisinier des cuisiniers,Fine cooking,Le cuisinier des cuisiniers,22,0.966465004627623,French,,Paris,France,Archive.org,
55,56,1880,1.0,Jourdan-Lecointe,,Le cuisinier des cuisiniers,Fine cooking,Le cuisinier des cuisiniers,30,0.989993221774867,French,,Paris,France,Archive.org,
56,57,1869,,Jourdan-Lecointe,,Le cuisinier des cuisiniers,Fine cooking,Le cuisinier des cuisiniers,,1.0,French,,Paris,France,Gallica,
57,58,1829,,A. Martin,,Le Cuisinier des gourmands,Fine cooking,,,0.987477880975712,French,,Paris,France,Gallica,
58,59,1889,,Gustave Garlin,,Le cuisinier moderne (Tome 1),Fine cooking,,2,0.613273062170306,French,,Paris,France,Archive.org,
59,60,1853,,"Viart, Fouret et Délan",,Le cuisinier national de la ville et de la campagne (ex cuisinier royal),Fine cooking,Le cuisinier royal,22,0.945,French,,Paris,France,Archive.org,
60,61,1836,,M.A. Chevrier,,Le cuisinier national et universel,Fine cooking,,,0.95,French,,Paris,France,Archive.org,
61,62,1849,,Antonin Carême,,"Le cuisinier parisien, ou l'art de la cuisine française au dix-neuvième siècle",Fine cooking,,2,0.942379829753569,French,,Paris,France,Archive.org,
62,63,1842,,Antonin Carême,,"Le cuisinier parisien, ou l'art de la cuisine française au dix-neuvième siècle",Fine cooking,,3,0.760109842860198,French,,Paris,France,Archive.org,
63,64,1817,,Viart,,Le cuisinier royal,Fine cooking,Le cuisinier royal,9,0.997446064795266,French,,Paris,France,Gallica,
64,65,1822,,Viart et Fouret,,Le cuisinier royal,Fine cooking,Le cuisinier royal,11,1.0,French,,Paris,France,Gallica,
65,66,1840,,Viart,,Le cuisinier royal,Fine cooking,Le cuisinier royal,17,0.522414944031273,French,,Paris,France,Archive.org,
66,67,1844,,Viart,,Le cuisinier royal,Fine cooking,Le cuisinier royal,19,0.591020715937761,French,,Paris,France,Archive.org,
67,68,1846,,"Viart, Fouret et Délan",,Le cuisinier royal,Fine cooking,Le cuisinier royal,20,0.928478574706556,French,,Paris,France,Archive.org,
68,69,1844,,Bernardi,,Le glacier royal,"Fine cooking, Pastry",,,0.934999967017374,French,,Paris,France,Archive.org,
69,70,1912,,Auguste Escoffier,,Le guide culinaire,Fine cooking,,3,0.997349866001824,French,,Paris,France,Gallica,
70,71,1877,,Jules Gouffé,,Le livre de cuisine,Fine cooking,Le livre de cuisine,4,0.714060739996244,French,,Paris,France,Archive.org,
71,72,1893,,Jules Gouffé,,Le livre de cuisine,Fine cooking,Le livre de cuisine,8,0.989553081355098,French,,Paris,France,Gallica,
72,73,1873,,Jules Gouffé,,Le Livre De Patisserie,Fine cooking,,,0.31118566368732,French,,Paris,France,Archive.org,
73,74,1869,,Jules Gouffé,,Le livre des conserves,Fine cooking,,,0.731802368262626,French,,Paris,France,Archive.org,
74,75,1911,,Pierre Lacam,,Le mémorial des glaces et entremets,Fine cooking,,3,0.450706653284271,French,,Paris,France,Archive.org,
75,76,1900,,Pierre Lacam,,Le mémorial historique et géographique de la pâtisserie,Fine cooking,,5,0.678905055925411,French,,Paris,France,Archive.org,
76,77,1813,,,,Le Nouveau cuisinier impérial,Fine cooking,,,0.996837818603991,French,,Paris,France,Gallica,
77,78,1886,,Mlle Emmeline Raymond,,Le nouveau livre de cuisine,Bourgeois cooking,,,0.965,French,,Paris,France,Archive.org,
78,79,1822,,A.T. Raimbaut,,Le parfait cuisinier,Fine cooking,,4,0.630360280983915,French,,Paris,France,Archive.org,
79,80,1825,,A.T. Raimbaut,,Le parfait cuisinier,Fine cooking,,5,0.799216995409459,French,,Paris,France,Archive.org,
80,81,1880,1.0,Émile Dumont,,Le parfait patissier,Fine cooking,,,0.963849722767014,French,,Paris,France,Archive.org,
81,82,1827,,M. Gauthier,,Le petit cuisinier de la ville et de la campagne,Bourgeois cooking,,1,0.935483870967742,French,,Lons-le-Saunier,France,Gallica,
82,83,1923,,Th. Gringoire et L. Saulnier,,Le répertoire de la cuisine,Fine cooking,,3,0.992987790606312,French,,"Paris, Londres","France, United Kingdom",Gallica,
83,84,1903,,A. de Villiers,,Le tour du monde en quatre-vingts recettes,,,,0.666071378995342,French,,Paris,France,Archive.org,
84,85,1886,,Sophie Wattel,,Les cent mille recettes de la bonne cuisinière bourgeoise à la ville et à la campagne,Bourgeois cooking,,,0.975,French,,Paris,France,Gallica,
85,86,1890,,A. Héraud,,Les secrets de l'alimentation à la ville et à la campagne,Fine cooking,,,0.746139071573493,French,,Paris,France,Archive.org,
86,87,1856,,A. Gogué,,Les secrets de la cuisine française,Fine cooking,,,1.0,French,,Paris,France,Gallica,
87,88,1904,,G.S.,,Les soupes de France,,,,0.758620689655171,French,,Paris,France,Archive.org,
88,89,1934,,Auguste Escoffier,,Ma Cuisine,Fine cooking,,,0.985,French,,Paris,France,Gallica,
89,90,1851,,Mlle Catherine,,Manuel complet de la cuisinière bourgeoise,Bourgeois cooking,,32,0.894999983187838,French,,Paris,France,Archive.org,
90,91,1885,1.0,Mlle Catherine,,Manuel complet de la cuisinière bourgeoise,Bourgeois cooking,,94,0.71169857005468,French,,Paris,France,Archive.org,
91,92,1876,1.0,,,Manuel de cuisine,Fine cooking,,,0.837222951054099,French,,Paris,France,Archive.org,
92,93,1831,,M. Cardelli,,Manuel du cuisinier et de la cuisinière,Bourgeois cooking,,,0.996828915287426,French,,Paris,France,Gallica,
93,94,1920,,,,Manuel Pratique De Cuisine Provençale ,Bourgeois cooking,,,0.739591285787029,French,,Marseilles,France,Archive.org,
94,95,1896,,Paul Friand,,Notre cuisine,,,,0.611092978738339,French,,Paris,France,Archive.org,
95,96,1850,1.0,,,Nouveau manuel de la cuisinière bourgeoise et économique,Bourgeois cooking,,,0.678825620099887,French,,Paris,France,Archive.org,
96,97,1866,,,,Nouveau manuel de la cuisinière bourgeoise et économique,Bourgeois cooking,,,0.707447745743764,French,,Paris,France,Archive.org,
97,98,1838,,Chevrier,,Nouveau manuel du cuisinier,Fine cooking,,2,0.995,French,,"Paris, Limoges",France,Gallica,
98,99,1900,1.0,Urbain-Dubois,,Nouvelle cuisine bourgeoise,Bourgeois cooking,,23,0.606797005367627,French,,Paris,France,Archive.org,
99,100,1840,,M. Lombez,,Nouvelle cuisinière bourgeoise,Bourgeois cooking,,,0.99,French,,Limoges,France,Archive.org,
100,101,1842,,M. Lombez,,Nouvelle cuisinière bourgeoise,Bourgeois cooking,,,0.709313752739994,French,,Paris,France,Archive.org,
101,102,1858,1.0,,,Petite cuisinière des ménages,Bourgeois cooking,,,0.901315732639638,French,,Paris,France,Archive.org,
102,103,1900,,Achille Ozanne,,Poésies gourmandes: recettes culinaires en vers,Poetry,,,0.717743125143665,French,,Paris,France,Archive.org,
103,104,1914,,Mesdames Coquelet et Tissier,,Régime végétalien,Vegetarian,,,0.627119009489779,French,,Paris,France,Archive.org,
104,105,1894,,Auguste Colombié,,Traité pratique de cuisine bourgeoise au gaz,Bourgeois cooking,,,0.995,French,,Paris,France,Gallica,
105,106,1864,,Louis-Eustache Audot,,Bréviaire du gastronome,,,,0.991609837932733,French,,Paris,France,Gallica,
106,107,1898,,Louis-Eustache Audot,,La cuisinière de la campagne et de la ville,Bourgeois cooking,La cuisinière de la campagne et de la ville,76,0.995,French,,Paris,France,Gallica,
107,108,1900,,Louis-Eustache Audot,,La cuisinière de la campagne et de la ville,Bourgeois cooking,La cuisinière de la campagne et de la ville,78,0.99,French,,Paris,France,Gallica,
108,109,1867,,,,La cuisinière des cuisinières,Bourgeois cooking,,,0.813625795832901,French,,Limoges,France,Gallica,
109,110,1890,,C. Asserolle,,Ma Cuisine,Bourgeois cooking,,,0.984118763238937,French,,Paris,France,Gallica,
110,111,1881,,,,La cuisine pour tous,Bourgeois cooking,,,0.991062543141437,French,,Paris,France,Gallica,
111,112,1927,,Auguste Escoffier,,Le riz,Bourgeois cooking,,,0.976744186046276,French,,Paris,France,Gallica,
112,113,1903,,Auguste Escoffier,,Le guide culinaire,Fine cooking,,,1.0,French,,Paris,France,Gallica,
113,114,1867,,Jules Gouffé,,Le livre de cuisine,Fine cooking,Le livre de cuisine,,0.784931289871897,French,,Paris,France,Gallica,
114,115,1884,,Jules Gouffé,,Le livre de cuisine,Fine cooking,Le livre de cuisine,6,0.755124750531227,French,,Paris,France,Gallica,
115,116,1843,,Viktorine Schiller,fraktur,Neuestes Süddeutsches Kochbuch für alle Stände,Bourgeois cooking,,,0.804790501255967,German,,Stuttgart,Germany,Archive.org,
116,117,1866,,Sophie Wilhelmine Scheibler,fraktur,Allgemeines Deutsches Kochbuch für alle Stände,Bourgeois cooking,Allgemeines Deutsches Kochbuch für alle Stände,17,0.812123538184566,German,,"Leipzig, Berlin",Germany,Archive.org,
117,118,1877,,Sophie Wilhelmine Scheibler,fraktur,Allgemeines Deutsches Kochbuch für alle Stände,Bourgeois cooking,Allgemeines Deutsches Kochbuch für alle Stände,23,0.797966826469657,German,,Leipzig,Germany,Wienbibliothek,
118,119,1887,,Sophie Wilhelmine Scheibler,fraktur,Allgemeines Deutsches Kochbuch für alle Stände,Bourgeois cooking,Allgemeines Deutsches Kochbuch für alle Stände,31,0.844069392307357,German,,Leipzig,Germany,Archive.org,
119,120,1899,,Charlotte Hommer,fraktur,Großes Hamburger Kochbuch für alle Stände,Bourgeois cooking,,14,0.924467420691902,German,,Hamburg,Germany,Archive.org,
120,121,1851,,Maria Katharina Daisenberger,fraktur,Vollständiges Bayrisches Kochbuch für alle Stände,Bourgeois cooking,,17,0.863887303616807,German,,Nürnberg,Germany,Archive.org,
121,122,1905,,Otto Dornblüth,fraktur,Diätetisches Kochbuch,Rational and medical,,2,0.859930491390766,German,,Würzburg,Germany,Archive.org,
122,123,1915,,Ida Schuppli und Betty Hinterer,fraktur,Grabnerhof Kochbuch,Bourgeois cooking,,2,0.840657399744743,German,,"Wien, Leipzig",Germany,Wienbibliothek,
123,124,1870,,Jules Gouffé,latin,Le livre de cuisine,Fine cooking,Le livre de cuisine,2,0.773433306291766,French,,Paris,France,Gallica,
124,125,1902,,Jules Gouffé,latin,Le livre de cuisine,Fine cooking,Le livre de cuisine,,0.76778556452822,French,,Paris,France,Gallica,
125,126,1873,,Eduard Baltzer,fraktur,Vegetarianisches Kochbuch,Vegetarian,,4,0.701426721996263,German,,Nordhausen,Germany,Universität Hamburg,https://digitalisate.sub.uni-hamburg.de/de/nc/detail.html?tx_dlf%5Bid%5D=33368&tx_dlf%5Bpage%5D=1&tx_dlf%5Bpointer%5D=0
126,127,1903,,Witwe Marie Kauders,fraktur,Vollständiges Israelitisches Kochbuch,"Jewish, Bourgeois cooking",,4,0.850072703136439,German,,"Prag, Breslau","Austria, Germany",Wienbibliothek,https://www.digital.wienbibliothek.at/id/2743618
127,128,1852,,Christine Charlotte Riedl,fraktur,Lindauer Kochbuch,Bourgeois cooking,Lindauer Kochbuch,,0.926192222107917,German,,Lindau,Germany,Archive.org,https://archive.org/details/bub_gb_PmU7AAAAcAAJ
128,129,1854,,W. Göbel,fraktur,Homöopathisches Kochbuch,Rational and medical,,2,0.792169003737445,German,,Sondershausen,Germany,Archive.org,https://archive.org/details/homopathischesk00gbgoog/
129,130,1805,,,fraktur,Vollständiges und allgemeinnützliches Bamberger Kochbuch,Bourgeois cooking,,,0.914824411815376,German,,Bamberg,Germany,Archive.org,https://archive.org/details/vollstandigesund00klie
130,131,1807,,Sophie Juliane Weiler,fraktur,Augsburgisches Kochbuch,Bourgeois cooking,Augsburgisches Kochbuch,10,0.897769614232766,German,,Augsburg,Germany,Archive.org,https://archive.org/details/bub_gb_MI47AAAAcAAJ
131,132,1808,,,fraktur,Vollständiges hannöverisches Kochbuch,Bourgeois cooking,,,0.789484963418013,German,,Hannover,Germany,Archive.org,https://archive.org/details/vollstndigeshan00unkngoog
132,133,1813,,,fraktur,Neues Fränkisches Kochbuch,Bourgeois cooking,,,0.914658546861502,German,,Ansbach,Germany,Archive.org,https://archive.org/details/bub_gb_eNoqAAAAYAAJ
133,134,1819,,Sophie Juliane Weiler,fraktur,Augsburgisches Kochbuch,Bourgeois cooking,Augsburgisches Kochbuch,14,0.914943513752591,German,,Augsburg,Germany,Archive.org,https://archive.org/details/bub_gb_73w7AAAAcAAJ
134,135,1823,,Franz Anton Weilhuber,fraktur,Teutsches Universal-Kochbuch (zweyter Theil),Bourgeois cooking,,,0.919328975270162,German,,Pappenheim,Germany,Archive.org,https://archive.org/details/bub_gb_r287AAAAcAAJ
135,136,1825,,Friedr. Luise Löffler,fraktur,Neues Kochbuch (Anhang),Bourgeois cooking,Friedr. Luise Löffler,4,0.926975630487088,German,,Stuttgart,Germany,Archive.org,https://archive.org/details/bub_gb_tQIqAAAAYAAJ_2
136,137,1827,,Marie Rosnack,fraktur,Neues Stettiner Kochbuch,Bourgeois cooking,,,0.914782777979918,German,,Stettin,Germany,Archive.org,https://archive.org/details/b21533854
137,138,1828,,Sophie Armster,fraktur,Kochbuch für alle Stände,Bourgeois cooking,,,0.912815255179344,German,,"Hannover, Stade",Germany,Archive.org,https://archive.org/details/b22023653
138,139,1831,,Bartels,fraktur,Die allezeit fertige Hamburger Köchin,Bourgeois cooking,,,0.892012127432448,German,,Hamburg,Germany,Archive.org,https://archive.org/details/bub_gb_NIU7AAAAcAAJ
139,140,1833,,Friedr. Luise Löffler,fraktur,Neues Kochbuch (erster Theil),Bourgeois cooking,Friedr. Luise Löffler,8,0.894490324957027,German,,Stuttgart,Germany,Archive.org,https://archive.org/details/bub_gb_6f8pAAAAYAAJ
140,141,1847,,Betty Gleim,fraktur,Betty Gleim's Bremisches Kochbuch,Bourgeois cooking,,8,0.918284310943688,German,,Bremen,Germany,Archive.org,https://archive.org/details/bub_gb_sV42AQAAMAAJ
141,142,1848,,J. G. Sartory,fraktur,Die schwäbisch-bayerische Küche oder Neuestes Augsburger Kochbuch,Bourgeois cooking,,,0.938686465070322,German,,Augsburg,Germany,Archive.org,https://archive.org/details/bub_gb_W187AAAAcAAJ
142,143,1845,,Helene Rundell,fraktur,Neuestes auf Erfahrung gegründetes Kochbuch,Bourgeois cooking,,62 (frei bearbeitet nach),0.930787006385594,German,,Ulm,Germany,Archive.org,https://archive.org/details/bub_gb__Ps8AAAAYAAJ
143,144,1840,,J. Stolz,fraktur,Vollständiges rheinisches Kochbuch,Bourgeois cooking,,2,0.962424921216514,German,,Karlsruhe,Germany,Archive.org,https://archive.org/details/bub_gb_O7AzTOZl4acC
144,145,1839,,M.D. Funck,fraktur,Neues Fränkisches Kochbuch,Bourgeois cooking,,3,0.933826906555251,German,,Erlangen,Germany,Archive.org,https://archive.org/details/bub_gb_yt86AAAAcAAJ
145,146,1838,,Luise Schaefer,fraktur,Neues schwäbisches Kochbuch,Bourgeois cooking,,2,0.926038664979152,German,,Stuttgart,Germany,Archive.org,https://archive.org/details/bub_gb_sdcpAAAAYAAJ
146,147,1835,,Margaretha Elisabetha Klotschin,fraktur,Praktisches Kochbuch für Hausmütter und Köchinnen,Bourgeois cooking,,4,0.909067898705559,German,,Nürnberg,Germany,Archive.org,https://archive.org/details/bub_gb_vPg6AAAAcAAJ
147,148,1835,,Sophie Juliane Weiler,fraktur,Augsburgisches Kochbuch (zweiter theil),Bourgeois cooking,Augsburgisches Kochbuch,2,0.951970913977293,German,,"Regensburg, Landshut",Germany,Archive.org,https://archive.org/details/bub_gb_Wn47AAAAcAAJ
148,149,1834,,Friederike Hehn,fraktur,Homöopathisches Kochbuch,Rational and medical,,,0.881849015903448,German,,Berlin,Germany,Archive.org,https://archive.org/details/homopathischesk00hehngoog
149,150,1855,,Christine Charlotte Riedl,fraktur,Lindauer Kochbuch,Bourgeois cooking,Lindauer Kochbuch,2,0.941485061529417,German,,Lindau,Germany,Archive.org,https://archive.org/details/bub_gb_YWU7AAAAcAAJ
150,151,1858,,Johann Rottenhöfer,fraktur,Neue vollständige theoretisch-praktische Anweisung in der feinern Kochkunst,Fine cooking,,,0.882799294176721,German,,München,Germany,Archive.org,https://archive.org/details/b28130042
151,152,1858,,L. Kurth,fraktur,Illustrirtes Kochbuch,Fine cooking,,2,0.869530902111626,German,,Berlin,Germany,Archive.org,https://archive.org/details/b28139926
152,153,1858,,Henriette Davidis,fraktur,Praktisches Kochbuch,Bourgeois cooking,Davidis,7,0.954518782251129,German,,Bielefeld,Germany,Archive.org,https://archive.org/details/bub_gb__jVdAAAAcAAJ
153,154,1858,,Anna Bergner,fraktur,Pfälzer Kochbuch,Bourgeois cooking,,,0.761423870455871,German,,Mannheim,Germany,Archive.org,https://archive.org/details/bub_gb_UMU6AAAAcAAJ
154,155,1861,,L. Kurth,fraktur,Illustrirtes Kochbuch,Fine cooking,,4,0.847417573945873,German,,Berlin,Germany,Archive.org,https://archive.org/details/b28100529
155,156,1865,,Christine Charlotte Riedl,fraktur,Lindauer Kochbuch,Bourgeois cooking,Lindauer Kochbuch,4,0.926798797981158,German,,Lindau,Germany,Archive.org,https://archive.org/details/bub_gb__mU7AAAAcAAJ
156,157,1866,,,fraktur,Neues praktisches badisches Kochbuch,Bourgeois cooking,,9,0.909941901177298,German,,Karlsruhe,Germany,Archive.org,https://archive.org/details/neuespraktisches00karl
157,158,1867,,Marie Schandri,fraktur,Regensburger Kochbuch,Bourgeois cooking,Regensburger Kochbuch,,0.904486893146839,German,,Regensburg,Germany,Archive.org,https://archive.org/details/bub_gb_RVY7AAAAcAAJ
158,159,1868,,Marie Schandri,fraktur,Regensburger Kochbuch,Bourgeois cooking,Regensburger Kochbuch,2,0.91013805373175,German,,Regensburg,Germany,Archive.org,https://archive.org/details/bub_gb_aVY7AAAAcAAJ_3
159,160,1870,,Anna Bergner,fraktur,Anna Bergner's Kochbuch,Bourgeois cooking,,,0.927873458770699,German,,Mannheim,Germany,Archive.org,https://archive.org/details/bub_gb_3vMpAAAAYAAJ
160,161,1871,,Christine Charlotte Riedl,fraktur,Lindauer Kochbuch,Bourgeois cooking,Lindauer Kochbuch,6,0.947044899442976,German,,Lindau,Germany,Archive.org,https://archive.org/details/bub_gb__WFTAAAAcAAJ
161,162,1871,,Marie Schandri,fraktur,Regensburger Kochbuch,Bourgeois cooking,Regensburger Kochbuch,4,0.887283879165706,German,,Regensburg,Germany,Archive.org,https://archive.org/details/bub_gb_S2JTAAAAcAAJ
162,163,1871,,W. Schünemann,fraktur,Neuestes Frankfurter Kochbuch,Bourgeois cooking,,8,0.886178608188813,German,,Frankfurt am Main,Germany,Archive.org,https://archive.org/details/bub_gb_nL1RAAAAcAAJ
163,164,1873,,Therese Brunn,fraktur,Würzburger Kochbuch,Bourgeois cooking,,3,0.910769602810271,German,,Würzburg,Germany,Archive.org,https://archive.org/details/bub_gb_pT5aAAAAcAAJ
164,165,1873,,J. G. Sartory,fraktur,Neuestes Augsburger Kochbuch,Bourgeois cooking,,4,0.961307314066268,German,,Augsburg,Germany,Archive.org,https://archive.org/details/bub_gb_iz9aAAAAcAAJ
165,166,1874,,Henriette Lagler,fraktur,Kochbuch für die böhmische und deutsche Küche,Bourgeois cooking,,2,0.913856700059832,German,,Halle,Germany,Archive.org,https://archive.org/details/b21533866
166,167,1878,,,fraktur,Neues praktisches Badisches Kochbuch,Bourgeois cooking,,11,0.896775358419709,German,,Karlsruhe,Germany,Archive.org,https://archive.org/details/bub_gb_dWcOAAAAYAAJ
167,168,1878,,Henriette Löffler,fraktur,Henriette Löffler's Grosses illustrirtes Kochbuch,Bourgeois cooking,,,0.883174343045528,German,,Ulm,Germany,Archive.org,https://archive.org/details/b28131290
